,station_nm,line_nm,IncomingPassengers,OutgoingPassengers
1484,Волжская,Люблинско-Дмитровская,1444624,1472605
1485,Люблино,Люблинско-Дмитровская,3878004,3742691
1486,Братиславская,Люблинско-Дмитровская,3231080,3209916
1487,Марьино,Люблинско-Дмитровская,2703033,2667846
1488,Борисово,Люблинско-Дмитровская,979675,965197
1489,Шипиловская,Люблинско-Дмитровская,1164583,1158179
1491,Улица Эйзенштейна,Монорельс,21121,17606
1492,Выставочный центр,Монорельс,89220,77534
1493,Улица Академика Королёва,Монорельс,14745,13484
1494,Телецентр,Монорельс,30721,27708
1495,Улица Милашенкова,Монорельс,19220,17360
1496,Лихоборы,Московское центральное кольцо,1008451,1020934
1497,Ростокино,Московское центральное кольцо,2777644,2792250
1498,Белокаменная,Московское центральное кольцо,117449,122067
1499,Локомотив,Московское центральное кольцо,1028209,1073525
1500,Измайлово,Московское центральное кольцо,867985,941047
1501,Соколиная гора,Московское центральное кольцо,541886,570404
1502,Андроновка,Московское центральное кольцо,709683,714878
1504,Угрешская,Московское центральное кольцо,438140,466734
1505,ЗИЛ,Московское центральное кольцо,765497,805873
1506,Верхние Котлы,Московское центральное кольцо,1550631,1612880
1508,Площадь Гагарина,Московское центральное кольцо,1083491,1360726
1509,Лужники,Московское центральное кольцо,895103,1040786
1510,Шелепиха,Московское центральное кольцо,652084,713379
1511,Хорошёво,Московское центральное кольцо,622550,659993
1512,Зорге,Московское центральное кольцо,444658,467505
1513,Панфиловская,Московское центральное кольцо,577865,613721
1514,Стрешнево,Московское центральное кольцо,1417562,1463492
1515,Балтийская,Московское центральное кольцо,982429,1069487
1516,Коптево,Московское центральное кольцо,1353652,1413203
1517,Нижегородская,Некрасовская,1011600,1290700
1519,Окская,Некрасовская,585866,569228
1520,Юго-Восточная,Некрасовская,987264,947300
1521,Косино,Некрасовская,375067,350579
